From Marked List: 
Timespan=2005-2019. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Crystallization of hard spheres revisited. II. Thermodynamic modeling, nucleation work, and the surface of tension","Richard, David; Speck, Thomas","","","","JOURNAL OF CHEMICAL PHYSICS","JUN 14 2018","2018","148","22","","","","","","224102","10.1063/1.5025394","","","2","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Efficient dynamical correction of the transition state theory rate estimate for a flat energy barrier","Mokkonen, Harri; Ala-Nissila, Tapio; Jonsson, Hannes","","","","JOURNAL OF CHEMICAL PHYSICS","SEP 7 2016","2016","145","9","","","","","","094901","10.1063/1.4962167","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Nucleation in a Sheared Ising Model: Effects of External Field","Allen, Rosalind J.; Valeriani, Chantal; Tanase-Nicola, Sorin","","","","PROGRESS OF THEORETICAL PHYSICS SUPPLEMENT","2008","2008","","175","","","","144","153","","","International Symposium on Non-Equilibrium Soft Matter","JUN 02-05, 2008","2","0.17","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"Heterogeneous seeded molecular dynamics as a tool to probe the ice nucleating ability of crystalline surfaces","Pedevilla, Philipp; Fitzner, Martin; Sosso, Gabriele C.; Michaelides, Angelos","","","","JOURNAL OF CHEMICAL PHYSICS","AUG 21 2018","2018","149","7","","","","","","072327","10.1063/1.5029336","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Rate constants for proteins binding to substrates with multiple binding sites using a generalized forward flux sampling expression","Vijaykumar, Adithya; ten Wolde, Pieter Rein; Bolhuis, Peter G.","","","","JOURNAL OF CHEMICAL PHYSICS","MAR 28 2018","2018","148","12","","","","","","124109","10.1063/1.5012854","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Bridging Dynamics of Telechelic Polymers between Solid Surfaces","Rezvantalab, Hossein; Larson, Ronald G.","","","","MACROMOLECULES","MAR 13 2018","2018","51","5","","","","2125","2137","","10.1021/acs.macromol.7b01517","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Arm retraction dynamics of entangled star polymers: A forward flux sampling method study","Zhu, Jian; Likhtman, Alexei E.; Wang, Zuowei","","","","JOURNAL OF CHEMICAL PHYSICS","JUL 28 2017","2017","147","4","","","","","","044907","10.1063/1.4995422","","","1","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Ordering effects of conjugate thermal fields in simulations of molecular liquids: Carbon dioxide and water","Dittmara, Harro R.; Kusalik, Peter G.","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 7 2016","2016","145","13","","","","","","134504","10.1063/1.4963767","","","1","0.25","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Thermal stability in exchange-spring chains of spins","Pellicelli, Raffaele; Solzi, Massimo","","","","JOURNAL OF PHYSICS D-APPLIED PHYSICS","FEB 3 2016","2016","49","4","","","","","","045003","10.1088/0022-3727/49/4/045003","","","1","0.25","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Calculating thermal stability and attempt frequency of advanced recording structures without free parameters","Vogler, Christoph; Bruckner, Florian; Suess, Dieter; Dellago, Christoph","","","","JOURNAL OF APPLIED PHYSICS","APR 28 2015","2015","117","16","","","","","","163907","10.1063/1.4918902","","","1","0.20","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Efficient calculation of rate constants: Downhill versus uphill sampling","Klenin, Konstantin V.","","","","JOURNAL OF CHEMICAL PHYSICS","AUG 21 2014","2014","141","7","","","","","","074103","10.1063/1.4892565","","","1","0.17","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Stability and Flipping Dynamics of Delayed Genetic Toggle Switch","Zhang, Rui-ting; Chen, Han-shuang; Hou, Zhong-huai","","","","CHINESE JOURNAL OF CHEMICAL PHYSICS","FEB 2012","2012","25","1","","","","53","59","","10.1088/1674-0068/25/01/53-59","","","1","0.13","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Calculation of critical nucleation rates by the persistent embryo method: application to quasi hard sphere models","Ren, Shang; Sun, Yang; Zhang, Feng; Travesset, Alex; Wang, Cai-Zhuang; Ho, Kai-Ming","","","","SOFT MATTER","DEC 5 2018","2018","14","45","","","","9185","9193","","10.1039/c8sm01415a","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unravelling the origins of ice nucleation on organic crystals","Sosso, Gabriele C.; Whale, Thomas F.; Holden, Mark A.; Pedevilla, Philipp; Murray, Benjamin J.; Michaelides, Angelos","","","","CHEMICAL SCIENCE","NOV 14 2018","2018","9","42","","","","8077","8088","","10.1039/c8sc02753f","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rigid-lattice Monte Carlo study of nucleation kinetics in dilute bcc Fe-Cu alloys using statistical sampling techniques","Qin, Lin; Redermeier, Alice; Dellago, Christoph; Kozeschnik, Ernst; Karner, Carina","","","","ACTA MATERIALIA","OCT 15 2018","2018","159","","","","","429","438","","10.1016/j.actamat.2018.08.035","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication: Nucleation rates of supersaturated aqueous NaCl using a polarizable force field","Jiang, Hao; Debenedetti, Pablo G.; Panagiotopoulos, Athanassios Z.","","","","JOURNAL OF CHEMICAL PHYSICS","OCT 14 2018","2018","149","14","","","","","","141102","10.1063/1.5053652","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Application of a novel forward flux sampling procedure to the kinetics of water exchange on Li+, Ca2+and Mg2+","Wallace, Adam; Ma, Yifei","","","","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","AUG 19 2018","2018","256","","","","","","","","","256th National Meeting and Exposition of the American-Chemical-Society (ACS) - Nanoscience, Nanotechnology and Beyond","AUG 19-23, 2018","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RESTART vs Splitting: A comparative study","Villen-Altamirano, Jose","","","","PERFORMANCE EVALUATION","MAY 2018","2018","121","","","","","38","47","","10.1016/j.peva.2018.02.002","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Generalised expressions for the association and dissociation rate constants of molecules with multiple binding sites","Vijaykumar, Adithya; ten Wolde, Pieter Rein; Bolhuis, Peter G.","","","","MOLECULAR PHYSICS","2018","2018","116","21-22","","","SI","3042","3054","","10.1080/00268976.2018.1473653","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nucleation mechanism of clathrate hydrates of water-soluble guest molecules","DeFever, Ryan S.; Sarupria, Sapna","","","","JOURNAL OF CHEMICAL PHYSICS","NOV 28 2017","2017","147","20","","","","","","204503","10.1063/1.4996132","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heterogeneous nucleation on complex networks with mobile impurities","Shen, Chuansheng; Chen, Hanshuang; Hou, Zhonghuai","","","","EPL","AUG 2015","2015","111","4","","","","","","48005","10.1209/0295-5075/111/48005","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Optimal Force Mismatch for Fluctuation-Activated Transition in a System of Two Coupled Bistable Oscillators","Chen Han-Shuang; Huang Feng; He Gang; Shen Chuan-Sheng; Hou Zhong-Huai","","","","COMMUNICATIONS IN THEORETICAL PHYSICS","MAY 2015","2015","63","5","","","","575","580","","10.1088/0253-6102/63/5/575","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Homogeneous and Heterogeneous Crystallization of Charged Colloidal Particles","Kratzer, Kai; Roehm, Dominic; Arnold, Axel","","","Nagel, WE; Kroner, DH; Resch, MM","HIGH PERFORMANCE COMPUTING IN SCIENCE AND ENGINEERING'14: TRANSACTIONS OF THE HIGH PERFORMANCE COMPUTING CENTER, STUTTGART (HLRS) 2014","2015","2015","","","","","","31","45","","10.1007/978-3-319-10810-0_3","17th Annual Results and Review Workshop on High Performance Computing in Science and Engineering (HLRS)","SEP 29-30, 2014","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heterogeneous and Homogeneous Crystallization of Soft Spheres in Suspension","Roehm, Dominic; Kratzer, Kai; Arnold, Axel","","","Nagel, WE; Kroner, DH; Resch, MM","HIGH PERFORMANCE COMPUTING IN SCIENCE AND ENGINEERING'13: TRANSACTIONS OF THE HIGH PERFORMANCE COMPUTING CENTER, STUTTGART (HLRS) 2013","2013","2013","","","","","","33","52","","10.1007/978-3-319-02165-2_3","16th Annual Results and Review Workshop on High Performance Computing in Science and Engineering (HLRS)","SEP 30-OCT 01, 2013","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
